Brand,Model,Link,Price,Price Retail,Discount,Saved Amount,CPU,GPU,RAM,Storage,Screen,detail,
LENOVO,Laptop Lenovo IdeaPad Slim 3 14ARP10 - 83K6005UVN (Ryzen 5 7535HS/ 24GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-3-14arp10-83k6005uvn--s251113500?selectPromotionId=1506016,14.990.000 ₫,16.490.000 ₫,-9%,1.500.000 ₫,R5 7535HS,AMD Radeon,24GB,512GB,"14"" WUXGA/ IPS","CPU: AMD Ryzen™ 5 7535HS (3.3 GHz - 4.55 GHz/ 16MB/ 6 nhân, 12 luồng)
RAM: 24GB (16GB + 8GB Onboard) 4800MHz DDR5 (Hỗ trợ tối đa 24GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Audio, AMD
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo IdeaPad Slim 3 14ARP10 - 83K6005VVN (Ryzen 5 7535HS/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-3-14arp10-83k6005vvn--s251113494?selectPromotionId=1505999,13.990.000 ₫,15.490.000 ₫,-10%,1.500.000 ₫,R5 7535HS,AMD Radeon,16GB,512GB,"14"" WUXGA/ IPS","CPU: AMD Ryzen™ 5 7535HS (3.3 GHz - 4.55 GHz/ 16MB/ 6 nhân, 12 luồng)
RAM: 16GB (8GB + 8GB Onboard) 4800MHz DDR5 (Không nâng cấp được)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Audio, AMD
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo Ideapad Slim 5 14AKP10 - 83HX00ABVN (Ryzen AI 5 330/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-5-14akp10-83hx00abvn--s251113271?selectPromotionId=1506013,20.990.000 ₫,22.990.000 ₫,-9%,2.000.000 ₫,R5 330,AMD Radeon,16GB,512GB,"14"" WUXGA/ OLED","CPU: AMD Ryzen™ AI 5 330 (3.4 GHz - 4.5 GHz/ 8MB/ 4 nhân, 8 luồng)
NPU: AMD Ryzen™ AI up to 50 TOPs
RAM: 2 x 8GB 5600MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) OLED, Màn hình gương, 400 nits, 100% DCI-P3
Khác: Bàn phím thường, FHD webcam, Dolby Audio, AMD
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EPVN (Ryzen 5 7535HS/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-3-15arp10-83k700epvn--s251113272,15.290.000 ₫,15.490.000 ₫,-1%,200.000 ₫,R5 7535HS,AMD Radeon,16GB,512GB,"15.3"" WUXGA/ IPS/ 60Hz","CPU: AMD Ryzen™ 5 7535HS (3.3 GHz - 4.55 GHz/ 16MB/ 6 nhân, 12 luồng)
RAM: 16GB (8GB + 8GB Onboard) 4800MHz DDR5 (Hỗ trợ tối đa 24GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.3"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Audio, AMD
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo IdeaPad Slim 5 14IRH10R - 83J0006CVN (Core 5 210H/ 32GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-5-14irh10r-83j0006cvn--s251113267?selectPromotionId=1506260,22.990.000 ₫,24.590.000 ₫,-7%,1.600.000 ₫,Core 5 210H,Intel Graphics,32GB,1TB,"14"" WUXGA/ OLED","CPU: Intel® Core™ 5 210H (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 12 luồng)
RAM: 2 x 16GB 4800MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) OLED, Màn hình gương, 400 nits, 100% DCI-P3
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Dolby Audio, Non-EVO
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EWVN (Ryzen 7 7735HS/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-3-15arp10-83k700ewvn--s251113268?selectPromotionId=1505992,15.990.000 ₫,17.490.000 ₫,-9%,1.500.000 ₫,R7 7735HS,AMD Radeon,16GB,512GB,"15.3"" WUXGA/ IPS/ 60Hz","CPU: AMD Ryzen™ 7 7735HS (3.2 GHz - 4.75 GHz/ 16MB/ 8 nhân, 16 luồng)
RAM: 16GB (8GB + 8GB Onboard) 4800MHz DDR5 (Hỗ trợ tối đa 24GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.3"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Audio, AMD
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo IdeaPad Slim 5 14IRH10R - 83J0006EVN (Core 5 210H/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-5-14irh10r-83j0006evn--s251113269,20.190.000 ₫,21.490.000 ₫,-6%,1.300.000 ₫,Core 5 210H,Intel Graphics,16GB,512GB,"14"" WUXGA/ OLED","CPU: Intel® Core™ 5 210H (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 12 luồng)
RAM: 2 x 8GB 5600MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) OLED, Màn hình gương, 400 nits, 100% DCI-P3
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Dolby Audio, Non-EVO
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EVVN (R7 7735HS/ 24GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-ideapad-slim-3-15arp10-83k700evvn--s251113270?selectPromotionId=1505993,16.990.000 ₫,18.490.000 ₫,-8%,1.500.000 ₫,Ryzen 7 7735HS,AMD Radeon,24GB,512GB,"15.3"" WUXGA/ IPS/ 60Hz","CPU: AMD Ryzen™ 7 7735HS (3.2 GHz - 4.75 GHz/ 16MB/ 8 nhân, 16 luồng)
RAM: 24GB (16GB + 8GB Onboard) 4800MHz DDR5 (Không nâng cấp được)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.3"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Audio, AMD
OS: Windows 11 Home SL",
HP,Laptop HP 15-fd0823TU - C81NMPA (i7-1355U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/may-tinh-xach-tay-laptop-hp-15-fd0823tu-c81nmpa-i7-1355u-bac--s251109448?selectPromotionId=1506044,19.190.000 ₫,22.090.000 ₫,-13%,2.900.000 ₫,i7-1355U,Intel Graphics,16GB,512GB,"15.6"" Full HD","CPU: Intel® Core™ i7-1355U (1.7 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 5200MHz DDR5 (Hỗ trợ tối đa 16GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) Màn hình chống lóa, 250 nits, 62.5% sRGB
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
ACER,Laptop Acer Nitro V 16S AI ProPanel - ANV16S-41-R337 (Ryzen 7-260/ GeForce RTX™ 5050/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/may-tinh-xach-tay-lapto-acer-nitro-v-16s-ai-propanel-anv16s-41-r337-amd-ryzen-7-260-den--s251107254,36.990.000 ₫,,,,R7 260,RTX 5050,16GB,1TB,"16"" WUXGA/ IPS/ 180Hz","CPU: AMD Ryzen™ 7 260 (3.8 GHz - 5.1 GHz/ 16MB/ 8 nhân, 16 luồng)
VGA: GeForce RTX™ 5050 8GB GDDR7, 440 AI TOPs
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 96GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 16"" WUXGA (1920 x 1200) IPS, 180Hz, Màn hình chống lóa, 400 nits, Acer ComfyView, 100% sRGB
Khác: Bàn phím thường, HD webcam, Acer Purified Voice; Acer TrueHarmony, Non-EVO
OS: Windows 11 Home SL",
